,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,name,smiles,mode,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,rdock,n_inspirations,crystal_code,fraction_overlapping,rdock_free,rdock_free_top10,rdock_pharm,rdock_pharm_top10,old_RMSD,filtered_reference2minimized_rmsd,based_on_x0434,overlap_%
DAR-DIA-23aa0b97-6,0.7069535203957893,0.683324806857373,0.6207610919937983,DAR-DIA-23aa0b97-6,N#Cc1cncc(NC(=O)Cc2cccnc2)c1,expansion,-5.414976815058667,-4.8484748873825385,0.5665019276761281,0.7069535203957893,19,0,49.58113980293274,"['x0305', 'x0434']",[],7.070663,2,x10178,1.0,5.690688,5.690688,,,7.114768,0.6207610919937983,True,100.0
DAR-DIA-23aa0b97-13,0.9425989217438813,0.6595690512246107,0.6246800069724587,DAR-DIA-23aa0b97-13,Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,expansion,-5.735418433598476,-5.145456585136717,0.5899618484617594,0.9425989217438813,21,0,77.61273121833801,"['x0104', 'x0995', 'x0434']",[],7.057672,3,x2964,1.0,7.729285,6.88201,,,0.779917,0.6246800069724587,True,100.0
DAR-DIA-23aa0b97-14,0.9086293206936713,0.6921636242671385,0.49115158795726316,DAR-DIA-23aa0b97-14,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,expansion,-6.210293309779825,-5.730186577624487,0.4801067321553379,0.9086293206936713,21,0,62.196492195129395,"['x0104', 'x0995', 'x0434']",[],5.026616,3,x10996,1.0,6.086111,5.491743,,,1.718833,0.49115158795726316,True,100.0
DAR-DIA-23aa0b97-17,0.5949635955249698,0.5490607130970734,0.5123784408683355,DAR-DIA-23aa0b97-17,N#Cc1cncc(CC(=O)Nc2cccnc2)c1,expansion,-3.603303293497275,-3.080013889248912,0.523289404248363,0.5949635955249698,19,0,70.28439497947693,"['x0305', 'x0434']",[],3.261701,2,x2569,1.0,5.999915,5.918524,,,0.612123,0.5123784408683355,True,100.0
DAR-DIA-23aa0b97-20,1.6547731393931744,1.792594274601292,2.3895673457762183,DAR-DIA-23aa0b97-20,O=C(Cc1cncc2ccccc12)Nc1ccccc1,expansion,-0.6135309031327768,-0.07103252149523798,0.5424983816375388,1.6547731393931744,23,2,89.93879914283752,"['x1093', 'x0434']",[],7.394043,2,x2563,0.85,6.941342,6.915921,,,1.578931,2.3895673457762183,True,85.0
DAR-DIA-842b4336-3,0.5915629193078281,1.033403025203623,1.1132768074472765,DAR-DIA-842b4336-3,Cc1ccc(NC(=O)Nc2cccnc2)s1,expansion,-8.22227336562179,-7.840373662096491,0.3818997035252988,0.5915629193078281,16,0,77.36183595657349,['x0434'],[],2.796876,1,x2608,0.9375,7.056662,2.398406,2.24484,2.099575,0.788464,1.1132768074472765,True,93.75
DAR-DIA-842b4336-13,0.6871043861743282,0.6600156721624116,0.6121445907626726,DAR-DIA-842b4336-13,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,expansion,-5.052399993061444,-4.651185681909498,0.4012143111519462,0.6871043861743282,16,0,55.07515287399292,['x0434'],[],2.936684,1,x2643,1.0,6.064245,5.370567,2.318712,1.683443,1.301014,0.6121445907626726,True,100.0
WAR-XCH-eb7b662f-7,0.7288999131110752,0.44808083509854385,0.4575866359628138,WAR-XCH-eb7b662f-7,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,expansion,-7.095146722504899,-6.550110751289312,0.5450359712155873,0.7288999131110752,18,0,52.76430320739746,"['x0305', 'x0434']",[],3.160064,2,x10996,1.0,6.066687,2.630992,,,1.644605,0.4575866359628138,True,100.0
TRY-UNI-714a760b-3,1.133244442085308,1.8422228081858067,2.0292568123641512,TRY-UNI-714a760b-3,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,expansion,-4.458113816636196,-4.16641838131157,0.2916954353246261,1.133244442085308,22,2,867.9563498497009,"['x1382', 'x0434']",['x0995'],5.050877,2,x11317,0.8947368421052632,5.931746,2.530848,,,1.98593,2.0292568123641512,True,89.47368421052632
TRY-UNI-714a760b-6,1.1123852288824665,1.113183273320256,1.0122250518316345,TRY-UNI-714a760b-6,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,expansion,-4.1281872778387045,-4.606750594896632,-0.47856331705792804,1.1123852288824665,22,1,69.574786901474,"['x0107', 'x1382', 'x0434']",[],7.158003,3,x2646,1.0,4.920502,1.811337,,,1.611907,1.0122250518316345,True,100.0
